Date,Vegetable,Actual,Predicted
2025-03-22,Snake gourd,300.0,298.6908845377162
2025-03-23,Snake gourd,300.0,302.8115545248093
2025-03-24,Snake gourd,300.0,300.95387022631326
2025-03-25,Snake gourd,350.0,294.8673462582578
2025-03-26,Snake gourd,350.0,345.4890919689844
2025-03-27,Snake gourd,320.0,342.6690458826233
2025-03-28,Snake gourd,300.0,312.74131882706297
2025-03-29,Snake gourd,300.0,292.82618563464905
2025-03-30,Snake gourd,300.0,299.37074471482026
2025-03-31,Snake gourd,300.0,304.8178773777128
2025-04-01,Snake gourd,300.0,300.0798541241735
2025-04-02,Snake gourd,250.0,289.3088401105663
2025-04-03,Snake gourd,250.0,245.228005241489
2025-04-04,Snake gourd,250.0,246.84865817461983
2025-04-05,Snake gourd,250.0,248.83689594886135
2025-04-06,Snake gourd,250.0,250.19598867598168
2025-04-07,Snake gourd,300.0,245.78422637452422
2025-04-08,Snake gourd,300.0,288.7476120671813
2025-04-09,Snake gourd,300.0,290.5820835924246
2025-04-10,Snake gourd,300.0,294.99122429422357
2025-04-11,Snake gourd,300.0,290.3600123082692
2025-04-12,Snake gourd,300.0,298.68723354733055
2025-04-13,Snake gourd,300.0,302.8083045603241
2025-04-14,Snake gourd,300.0,300.94776889641696
2025-04-15,Snake gourd,300.0,294.8613335949251
2025-04-16,Snake gourd,300.0,298.3989244733222
2025-04-17,Snake gourd,300.0,295.6028737003443
2025-04-18,Snake gourd,300.0,295.6004901860018
2025-04-19,Snake gourd,300.0,295.5971362075894
2025-04-20,Snake gourd,300.0,295.58907288867266
2025-04-21,Snake gourd,250.0,295.5960028139955
2025-04-22,Snake gourd,300.0,248.51133476419858
2025-04-23,Snake gourd,300.0,295.6183351423008
2025-01-18,Red Onion (Local),280.0,279.92690930191566
2025-01-19,Red Onion (Local),280.0,279.9263012944048
2025-01-20,Red Onion (Local),280.0,279.91819335074
2025-01-21,Red Onion (Local),280.0,279.90432347431846
2025-01-22,Red Onion (Local),280.0,279.89900209012603
2025-01-23,Red Onion (Local),280.0,279.88934104112866
2025-01-24,Red Onion (Local),280.0,279.8876624836989
2025-01-25,Red Onion (Local),280.0,279.8959949551636
2025-01-26,Red Onion (Local),280.0,279.90241087225866
2025-01-27,Red Onion (Local),280.0,279.91310232562927
2025-01-28,Red Onion (Local),280.0,279.91042704172406
2025-01-29,Red Onion (Local),280.0,279.91516205206915
2025-01-30,Red Onion (Local),280.0,279.9300924935801
2025-01-31,Red Onion (Local),280.0,279.92350895852354
2025-02-01,Red Onion (Local),280.0,279.93171233508167
2025-02-02,Red Onion (Local),280.0,279.94365886103816
2025-02-03,Red Onion (Local),280.0,279.945261090322
2025-02-04,Red Onion (Local),280.0,279.9374504532949
2025-02-05,Red Onion (Local),280.0,279.9249538797724
2025-02-06,Red Onion (Local),280.0,279.9299129087308
2025-02-07,Red Onion (Local),280.0,279.9341474622202
2025-02-08,Red Onion (Local),280.0,279.9282923088091
2025-02-09,Red Onion (Local),280.0,279.91440056963376
2025-02-10,Red Onion (Local),280.0,279.9319223818172
2025-02-11,Red Onion (Local),280.0,279.9310888486453
2025-02-12,Red Onion (Local),280.0,279.9310888486453
2025-02-13,Red Onion (Local),280.0,279.935829542243
2025-02-14,Red Onion (Local),280.0,279.93966090563924
2025-02-15,Red Onion (Local),280.0,279.9551137451803
2025-02-16,Red Onion (Local),280.0,279.95293128578743
2025-02-17,Red Onion (Local),280.0,279.9570108533902
2025-02-18,Red Onion (Local),280.0,279.9584759574507
2025-02-19,Red Onion (Local),255.0,279.9539469254542
2025-02-20,Red Onion (Local),210.0,257.4326562151039
2025-02-21,Red Onion (Local),200.0,214.69762202374545
2025-02-22,Red Onion (Local),200.0,204.51033922296108
2025-02-23,Red Onion (Local),200.0,209.72661525360576
2025-02-24,Red Onion (Local),200.0,210.07239980677087
2025-02-25,Red Onion (Local),210.0,206.6792105163425
2025-02-26,Red Onion (Local),210.0,216.39042577740557
2025-02-27,Red Onion (Local),210.0,216.1970554748762
2025-02-28,Red Onion (Local),200.0,212.18327757239095
2025-03-01,Red Onion (Local),200.0,201.99951318476914
2025-03-02,Red Onion (Local),200.0,202.3817296003856
2025-03-03,Red Onion (Local),200.0,203.1816831518707
2025-03-04,Red Onion (Local),190.0,203.58645584953757
2025-03-05,Red Onion (Local),190.0,194.12791759592793
2025-03-06,Red Onion (Local),195.0,193.69047587719464
2025-03-07,Red Onion (Local),200.0,199.2651337648493
2025-03-08,Red Onion (Local),200.0,204.02264304885009
2025-03-09,Red Onion (Local),200.0,202.7707346902576
2025-03-10,Red Onion (Local),260.0,202.44557378271494
